100 284
20 40 9
89 98 11
60 65 11
4 14 12
13 79 13
45 76 13
37 57 16
17 24 18
46 52 19
63 71 22
25 65 23
38 39 25
20 39 25
73 78 26
19 64 28
25 78 28
81 90 28
67 74 29
56 60 31
66 97 31
22 90 33
11 93 34
62 99 36
12 48 36
73 94 39
8 31 39
21 75 39
4 66 40
20 23 41
47 99 41
72 85 41
18 80 41
17 54 44
77 96 44
2 100 44
35 58 45
43 86 46
2 21 46
10 42 46
19 53 49
9 88 51
59 95 51
26 62 52
2 35 52
75 87 52
41 76 53
28 57 53
6 36 55
1 44 56
34 53 57
15 42 57
15 96 57
30 71 58
3 64 60
12 88 60
27 47 64
59 73 65
29 69 69
5 79 69
7 68 69
13 71 75
40 83 76
21 82 77
51 56 77
19 33 77
15 67 79
8 82 80
50 68 81
9 85 81
16 45 81
64 83 83
28 84 84
29 34 84
61 93 85
46 63 87
55 98 87
68 92 88
7 91 91
6 37 94
6 99 95
1 26 95
48 97 100
14 59 101
14 93 104
91 96 109
30 77 112
56 91 114
41 44 115
16 70 117
67 84 117
63 69 120
18 68 133
81 100 134
24 61 137
54 100 141
31 55 142
49 86 149
27 49 153
32 72 172
23 69 110
31 87 224
11 61 88
23 64 136
43 70 234
26 28 137
51 94 121
8 22 214
3 83 88
38 46 292
34 84 211
22 95 145
24 54 62
29 71 145
9 61 314
22 100 182
16 98 217
39 40 31
3 57 273
14 97 76
33 34 146
87 89 411
5 52 100
59 93 119
22 81 60
34 42 153
33 84 174
65 92 125
20 38 43
35 75 83
58 100 136
27 70 144
61 97 127
46 69 178
3 36 372
70 86 204
12 97 119
80 92 150
4 59 112
53 64 76
10 34 140
23 29 107
51 91 160
16 62 154
48 80 189
12 61 222
15 74 83
23 38 53
25 56 52
93 97 126
4 92 163
4 48 141
43 87 724
70 89 224
36 57 124
60 91 116
2 58 95
1 74 168
3 19 80
13 52 100
43 49 187
10 67 83
75 82 80
5 32 350
3 49 591
55 89 95
69 71 126
25 60 31
36 49 226
1 84 158
1 51 238
8 90 181
82 87 129
33 57 186
73 92 125
1 41 160
11 22 193
2 75 68
5 18 265
23 40 47
74 91 137
48 88 61
26 44 98
51 76 188
11 17 141
22 76 234
59 94 74
39 83 105
42 77 80
78 92 117
82 100 117
94 95 79
27 99 90
18 32 268
22 54 203
35 87 68
32 46 449
8 81 159
21 100 55
52 63 94
22 51 218
7 50 82
31 82 102
14 66 48
41 45 54
38 69 131
30 50 186
4 80 223
11 95 131
56 94 90
41 51 161
48 66 111
23 83 105
58 87 93
65 78 49
30 79 94
65 91 124
18 72 204
29 42 183
16 76 94
43 89 313
34 64 116
11 54 156
9 24 449
9 12 91
8 76 269
62 70 133
27 86 196
47 70 121
10 15 66
24 58 225
93 95 125
4 73 147
27 36 153
28 37 56
36 37 109
33 53 89
6 27 138
8 55 156
3 33 96
70 98 215
55 76 180
32 85 208
42 96 80
47 62 45
16 55 184
32 52 430
6 28 117
9 72 114
7 92 127
16 44 133
51 95 177
25 94 57
6 26 107
81 82 166
57 84 119
50 77 125
72 88 139
7 65 131
31 89 190
50 96 136
7 96 130
78 94 45
18 50 176
5 30 163
11 24 139
18 92 145
23 34 147
10 84 152
15 91 126
26 99 55
72 80 173
1 28 143
16 41 105
13 63 83
80 88 172
74 84 137
51 74 222
30 42 136
13 30 82
54 58 183
5 13 81
44 62 116
29 30 153
5 50 196
